Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3122.4,3119.49,0.01,0.07
3122.41,3119.5,0.01,0.07
3122.42,3119.51,0.01,0.07
3122.43,3119.52,0.01,0.07
3122.44,3119.53,0.01,0.07
3122.45,3119.54,0.01,0.07
3122.46,3119.55,0.01,0.07
3122.47,3119.56,0.01,0.07
3122.48,3119.57,0.01,0.07
3122.49,3119.58,0.01,0.07
3122.5,3119.59,0.01,0.07
3122.51,3119.6,0.01,0.07
3122.52,3119.61,0.01,0.07
3122.53,3119.62,0.01,0.07
3122.54,3119.63,0.01,0.07
3122.55,3119.64,0.01,0.07
3122.56,3119.65,0.01,0.07
3122.57,3119.66,0.01,0.07
3122.58,3119.67,0.01,0.07
3122.59,3119.68,0.01,0.07
3122.6,3119.69,0.01,0.07
3122.61,3119.7,0.01,0.07
3122.62,3119.71,0.01,0.07
3122.63,3119.72,0.01,0.07
3122.64,3119.73,0.01,0.07
3122.65,3119.74,0.01,0.07
3122.66,3119.75,0.01,0.07
3122.67,3119.76,0.01,0.07
3122.68,3119.77,0.01,0.07
3122.69,3119.78,0.01,0.07
3122.7,3119.79,0.01,0.07
3122.71,3119.8,0.01,0.07
3122.72,3119.81,0.01,0.07
3122.73,3119.82,0.01,0.07
3122.74,3119.83,0.01,0.07
3122.75,3119.84,0.01,0.07
3122.76,3119.85,0.01,0.07
3122.77,3119.86,0.01,0.07
3122.78,3119.87,0.01,0.07
3122.79,3119.88,0.01,0.07
3122.8,3119.89,0.01,0.07
3122.81,3119.9,0.01,0.08
3122.82,3119.91,0.01,0.08
3122.83,3119.92,0.01,0.08
3122.84,3119.93,0.01,0.08
3122.85,3119.94,0.01,0.08
3122.86,3119.95,0.01,0.08
3122.87,3119.96,0.01,0.08
3122.88,3119.97,0.01,0.08
3122.89,3119.98,0.01,0.08
3122.9,3119.99,0.01,0.08
3122.91,3120,0.01,0.08
3122.92,3120.01,0.01,0.08
3122.93,3120.02,0.01,0.08
3122.94,3120.03,0.01,0.08
3122.95,3120.04,0.01,0.08
3122.96,3120.05,0.01,0.08
3122.97,3120.06,0.01,0.08
3122.98,3120.07,0.01,0.08
3122.99,3120.08,0.01,0.08
3123,3120.09,0.02,0.08
3123.01,3120.1,0.02,0.08
3123.02,3120.11,0.02,0.08
3123.03,3120.12,0.02,0.08
3123.04,3120.13,0.02,0.08
3123.05,3120.14,0.02,0.08
3123.06,3120.15,0.02,0.08
3123.07,3120.16,0.02,0.08
3123.08,3120.17,0.02,0.08
3123.09,3120.18,0.02,0.08
3123.1,3120.19,0.02,0.08
3123.11,3120.2,0.02,0.08
3123.12,3120.21,0.02,0.08
3123.13,3120.22,0.02,0.08
3123.14,3120.23,0.02,0.08
3123.15,3120.24,0.02,0.08
3123.16,3120.25,0.02,0.08
3123.17,3120.26,0.02,0.08
3123.18,3120.27,0.02,0.08
3123.19,3120.28,0.02,0.08
3123.2,3120.29,0.02,0.08
3123.21,3120.3,0.02,0.08
3123.22,3120.31,0.02,0.08
3123.23,3120.32,0.02,0.08
3123.24,3120.33,0.02,0.08
3123.25,3120.34,0.02,0.08
3123.26,3120.35,0.02,0.08
3123.27,3120.36,0.02,0.08
3123.28,3120.37,0.02,0.08
3123.29,3120.38,0.02,0.08
3123.3,3120.39,0.02,0.08
3123.31,3120.4,0.02,0.08
3123.32,3120.41,0.02,0.08
3123.33,3120.42,0.02,0.08
3123.34,3120.43,0.02,0.08
3123.35,3120.44,0.02,0.08
3123.36,3120.45,0.02,0.08
3123.37,3120.46,0.02,0.08
3123.38,3120.47,0.02,0.08
3123.39,3120.48,0.02,0.08
3123.4,3120.49,0.02,0.08
3123.41,3120.5,0.02,0.08
3123.42,3120.51,0.02,0.08
3123.43,3120.52,0.02,0.08
3123.44,3120.53,0.02,0.08
3123.45,3120.54,0.02,0.08
3123.46,3120.55,0.02,0.08
3123.47,3120.56,0.02,0.09
3123.48,3120.57,0.02,0.09
3123.49,3120.58,0.02,0.09
3123.5,3120.59,0.02,0.09
3123.51,3120.6,0.02,0.09
3123.52,3120.61,0.02,0.09
3123.53,3120.62,0.02,0.09
3123.54,3120.63,0.02,0.09
3123.55,3120.64,0.02,0.09
3123.56,3120.65,0.02,0.09
3123.57,3120.66,0.02,0.09
3123.58,3120.67,0.02,0.09
3123.59,3120.68,0.02,0.09
3123.6,3120.69,0.02,0.09
3123.61,3120.7,0.02,0.09
3123.62,3120.71,0.02,0.09
3123.63,3120.72,0.02,0.09
3123.64,3120.73,0.02,0.09
3123.65,3120.74,0.02,0.09
3123.66,3120.75,0.02,0.09
3123.67,3120.76,0.02,0.09
3123.68,3120.77,0.02,0.09
3123.69,3120.78,0.02,0.09
3123.7,3120.79,0.02,0.09
3123.71,3120.8,0.02,0.09
3123.72,3120.81,0.02,0.09
3123.73,3120.82,0.02,0.09
3123.74,3120.83,0.02,0.09
3123.75,3120.84,0.02,0.09
3123.76,3120.85,0.02,0.09
3123.77,3120.86,0.02,0.09
3123.78,3120.87,0.02,0.09
3123.79,3120.88,0.02,0.09
3123.8,3120.89,0.02,0.09
3123.81,3120.9,0.02,0.09
3123.82,3120.91,0.02,0.09
3123.83,3120.92,0.02,0.09
3123.84,3120.93,0.02,0.09
3123.85,3120.94,0.02,0.09
3123.86,3120.95,0.02,0.09
3123.87,3120.96,0.02,0.09
3123.88,3120.97,0.02,0.09
3123.89,3120.98,0.02,0.09
3123.9,3120.99,0.02,0.09
3123.91,3121,0.02,0.09
3123.92,3121.01,0.02,0.09
3123.93,3121.02,0.02,0.09
3123.94,3121.03,0.02,0.09
3123.95,3121.04,0.02,0.09
3123.96,3121.05,0.02,0.09
3123.97,3121.06,0.02,0.09
3123.98,3121.07,0.02,0.09
3123.99,3121.08,0.02,0.09
3124,3121.09,0.02,0.09
3124.01,3121.1,0.02,0.09
3124.02,3121.11,0.02,0.09
3124.03,3121.12,0.02,0.09
3124.04,3121.13,0.02,0.09
3124.05,3121.14,0.02,0.09
3124.06,3121.15,0.02,0.09
3124.07,3121.16,0.02,0.09
3124.08,3121.17,0.02,0.09
3124.09,3121.18,0.02,0.09
3124.1,3121.19,0.02,0.09
3124.11,3121.2,0.02,0.1
3124.12,3121.21,0.02,0.1
3124.13,3121.22,0.02,0.1
3124.14,3121.23,0.02,0.1
3124.15,3121.24,0.02,0.1
3124.16,3121.25,0.02,0.1
3124.17,3121.26,0.02,0.1
3124.18,3121.27,0.02,0.1
3124.19,3121.28,0.02,0.1
3124.2,3121.29,0.02,0.1
3124.21,3121.3,0.02,0.1
3124.22,3121.31,0.02,0.1
3124.23,3121.32,0.02,0.1
3124.24,3121.33,0.02,0.1
3124.25,3121.34,0.02,0.1
3124.26,3121.35,0.02,0.1
3124.27,3121.36,0.02,0.1
3124.28,3121.37,0.02,0.1
3124.29,3121.38,0.02,0.1
3124.3,3121.39,0.02,0.1
3124.31,3121.4,0.02,0.1
3124.32,3121.41,0.02,0.1
3124.33,3121.42,0.02,0.1
3124.34,3121.43,0.02,0.1
3124.35,3121.44,0.02,0.1
3124.36,3121.45,0.02,0.1
3124.37,3121.46,0.02,0.1
3124.38,3121.47,0.02,0.1
3124.39,3121.48,0.02,0.1
3124.4,3121.49,0.02,0.1
3124.41,3121.5,0.02,0.1
3124.42,3121.51,0.02,0.1
3124.43,3121.52,0.02,0.1
3124.44,3121.53,0.02,0.1
3124.45,3121.54,0.02,0.1
3124.46,3121.55,0.02,0.1
3124.47,3121.56,0.02,0.1
3124.48,3121.57,0.02,0.1
3124.49,3121.58,0.02,0.1
3124.5,3121.59,0.02,0.1
3124.51,3121.6,0.02,0.1
3124.52,3121.61,0.02,0.1
3124.53,3121.62,0.02,0.1
3124.54,3121.63,0.02,0.1
3124.55,3121.64,0.02,0.1
3124.56,3121.65,0.02,0.1
3124.57,3121.66,0.02,0.1
3124.58,3121.67,0.02,0.1
3124.59,3121.68,0.02,0.1
3124.6,3121.69,0.02,0.1
3124.61,3121.7,0.02,0.1
3124.62,3121.71,0.02,0.1
3124.63,3121.72,0.02,0.1
3124.64,3121.73,0.02,0.1
3124.65,3121.74,0.02,0.1
3124.66,3121.75,0.02,0.1
3124.67,3121.76,0.02,0.1
3124.68,3121.77,0.02,0.1
3124.69,3121.78,0.02,0.1
3124.7,3121.79,0.02,0.1
3124.71,3121.8,0.02,0.11
3124.72,3121.81,0.02,0.11
3124.73,3121.82,0.02,0.11
3124.74,3121.83,0.02,0.11
3124.75,3121.84,0.02,0.11
3124.76,3121.85,0.02,0.11
3124.77,3121.86,0.02,0.11
3124.78,3121.87,0.02,0.11
3124.79,3121.88,0.02,0.11
3124.8,3121.89,0.02,0.11
3124.81,3121.9,0.02,0.11
3124.82,3121.91,0.02,0.11
3124.83,3121.92,0.02,0.11
